,School,CourseID,Descriptions
0,2011CornellSUPERTRIMMED_spaced,"PHYS 1102, 2208, 2213, 2217 ","A .........student planning a major in physics or applied and engineering physics and who is eligible for AP credit should consult with his or her advisor or the department representative. Advanced placement into a next-in-sequence course depends on the completion of the appropriate mathematics prerequisites before enrolling. To qualify for advanced placement credit, it is not necessary to continue the study of physics. General information and advice may be obtained from the director of undergraduate studies, 115 Clark Hall, or from the Department of Physics, 109 Clark Hall. "
1,2011CornellSUPERTRIMMED_spaced,CS 4220 Numerical Analysis: Linear and ,"Nonlinear Problems (also MATH 4260) CS 6210 Matrix Computations CS 6220 Sparse Matrix Computations CS 6240 Numerical Solution of Differential Equations CS 6670 Machine Vision CS 6820 Analysis of Algorithms MATH 4250 Numerical Analysis and Differential Equations (also CS 4210) ORIE 6335 Scheduling Theory ORIE 6300–6310 Mathematical Programming, I and II ORIE 6320 Nonlinear Programming ORIE 6325 Interior-Point Methods for "
2,2011CornellSUPERTRIMMED_spaced,ECE 4110 Random Signals in ,Communications and Signal Processing ECE 5620 Fundamental Information Theory ECE 5660 Fundamentals of Networks MATH 6710–6720 Probability Theory MATH 6740 Introduction to Mathematical Statistics MATH 7770–7780 Stochastic Processes ORIE 5560 Queuing Systems: Theory and Applications ORIE 5550 Applied Time-Series Analysis ORIE 6510 Probability ORIE 6540 Applied Stochastic Processes ORIE 6620 Advanced Stochastic Processes ORIE 6700 Statistical Principles ORIE 6710 Intermediate Applied Statistics BTRY 4080 Theory and Probability BTRY 4090 Theory of Statistics 
3,2011CornellSUPERTRIMMED_spaced,"BEE 4540, 4590 ","Biological Sciences (any course EXCEPT BIOG 2000, 2990, 4980, 4990, and BIONB 4310, BIOSM 2040, and BIOAP 4980, BIOEE 4980, BIOMG 4980, BIONB 4980, BIOPL 4980) "
4,2011CornellSUPERTRIMMED_spaced,BEE 1510 Introduction to Computing ,"Statistics concentration: Students must complete three advanced courses in statistics, computer science, operations research, or computational biology, including at least two from the list below (for complete list, go to www.bscb.cornell.edu/majReq.php): "
5,2011CornellSUPERTRIMMED_spaced,"COMM 2850 Communication, Environment, Science, and Health ","After completing the courses in the core curriculum, all majors take an additional 18 credits in communication distributed among advanced writing and presentation courses, electives, and focus area requirements. Students must also complete 3 credits of college-level statistics. In consultation with their advisers, students concentrate in one of four defined focus areas appropriate to specific educational and career goals. "
6,2011CornellSUPERTRIMMED_spaced,ENTOM 4830 Insect Physiology—4 credits ,"• Two additional entomology courses from Groups A or B (see link to Entomology Course Spreadsheet for a complete list of entomology courses, www.entomology. cornell.edu) "
7,2011CornellSUPERTRIMMED_spaced,INFO 2300 Intermediate Design and Programming for the Web ,"*CS 2110 is an intermediate programming course that requires prior knowledge of Java. Students who have not learned Java can take CS 1130 after completing INFO 1300 and 2300, or they can take CS 1110. "
8,2011CornellSUPERTRIMMED_spaced,DEA 4700 Applied Ergonomic Methods ,"*Students who take PSYCH 3420 may also count its prerequisite, PSYCH 2050, toward the Human-Centered Systems primary/secondary track requirements. Similarly, students who take PSYCH 3800 may also count PSYCH 2800 toward the Human-Centered Systems primary/ secondary track requirements. At most, one of PSYCH 2050 or 2800 can be counted toward the primary/secondary track requirements. † INFO 4320 may count toward the Human-Centered Systems of Information Systems but not both. "
9,2011CornellSUPERTRIMMED_spaced,VIEN 2204 Grapes to Wine Lecture and Lab (4 credits) ,A minimum of 5 credits in any other course with a “VIEN” designation must be completed. The two exceptions are VIEN 4300 and 4960. These courses can not count towards satisfaction of the minor. 
