,School,CourseID,Descriptions
0,AlmaSUPERTRIMMED_spaced,ENG 101,", 201, or 202 with a grade of “C” or better, plus 12 additional credits of Quill writing courses. One of these courses 
must be in the major. Quill courses are designated with a "
1,AlmaSUPERTRIMMED_spaced,PHY 242," 
Modern Physics  NS 4 cr  UL Examination of electricity and magnetism, wave mechanics, 
atomic physics, nuclear structure and reactions, and introduction 

to special relativity. Laboratory. "
2,AlmaSUPERTRIMMED_spaced,FYS 101 First Year Seminar ,"2-6 cr First Year Seminar courses focus on the interdisciplinary nature of important and timely social, scientific, and cultural issues and are designed to provide every new student with high quality student-faculty interaction that helps students develop skills in critical thinking and communication. Topics vary. Course fee. "
3,AlmaSUPERTRIMMED_spaced,HNR 180A Honors Seminar I ,2-4 cr Course explores variable topics from a multidisciplinary and integrative perspective while addressing essential issues of liberal arts education. Open to first-year students in the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
4,AlmaSUPERTRIMMED_spaced,HNR 280A Honors Seminar II ,2-4 cr UL Second course available to students accepted into the Alma College Liberal Arts and Sciences Honors Program. Offered Winter only. 
5,AlmaSUPERTRIMMED_spaced,AMS 101 Introduction to American Studies ,2 cr Focuses on the multi-disciplinary perspectives needed to understand the complexity of the American experience(s). Prereq: First- year or Sophomore Standing 
6,AlmaSUPERTRIMMED_spaced,AMS 301 American Studies Seminar ,2-4 cr UL Open only to students who have completed or are concurrently enrolled in the completion of 24 credits toward the AMS minor. Prereq: AMS 101 and 102 
7,AlmaSUPERTRIMMED_spaced,ANT 111 Introduction to Anthropology ,"SO  4 cr Introduction to the holistic study of human kind. Development, organization, and functioning of cultures, as well as the relationship between biology and culture. "
8,AlmaSUPERTRIMMED_spaced,ANT 180 Topics in Anthropology ,SO  1-8 cr Investigation of a selected topic. May be taken only once for credit towards the SOC or ANT major. 
9,AlmaSUPERTRIMMED_spaced,ANT 212," Intro to Cultural Anthropology SO  4 cr UL Study of the development and variety of human cultures, or non-genetic adaptations to natural and social environments. Using a variety of theoretical perspectives, explore a range of contemporary and recent historic cultures to gain an appreciation of diversity of human world views and life ways. Investigate the process and effects of globalization. "
10,AlmaSUPERTRIMMED_spaced,ANT 213 Principles of Archaeology,"SO 4 cr UL A basic introduction to the history, theories and methods of anthropological archaeology. Issues of stewardship, accountability, social relevance, communication, preservation, repatriation and real world problem solving are integrated into the nuts and bolts of archaeological research. Opportunities for hands-on, post-excavation archaeological laboratory research. Prereq: ANT-111 recommended "
11,AlmaSUPERTRIMMED_spaced,ANT 214," Fund. of Biological Anthropology SO  4 cr UL Focus on the physical nature of humankind and the relationship between mind-body-culture. Historic and current theoretical and methodological approaches to the investigation of the human body, its functions, and evolution. Methods and techniques used by paleontologists to investigate ancient hominids and their behavior. Examine current issues such as human demography, race, forensics, epidemiology, stem cell research, genetics. "
12,AlmaSUPERTRIMMED_spaced,ANT 215," Michigan Archaeological Fieldwork SO SL 4 cr UL Survey and excavation of a local archaeological site. Field methods, record keeping, preservation of finds, laboratory experience, and public education. Includes classroom instruction, field, and laboratory work, and a service-learning component. Course fee. "
13,AlmaSUPERTRIMMED_spaced,ANT 215M Michigan Archaeological Fieldwork,"SO SL 4 cr UL Survey and excavation of a local archaeological site. Field methods, record keeping, preservation of finds, laboratory experience, and public education. Includes classroom instruction, field, and laboratory work, and a service-learning component. Course fee. Prereq: ANT-111, 213, or 312 recommended "
14,AlmaSUPERTRIMMED_spaced,ANT 216," Ethno botany SO 4 cr UL Ethno botanical and paleo ethno botanical approach to relationships between plants and human culture. Philosophical, ethical and technological perspectives of traditional and Western attitudes toward human-plant interactions. Issues of land-use rights, biodiversity, global stewardship and intellectual property rights. Combined lecture and seminar format. "
15,AlmaSUPERTRIMMED_spaced,ANT 217," Medical Anthropology SO  4 cr UL An examination of the interplay between culture and medicine in a global context. Cross-cultural notions of healing, illness and medicine will be explored. Ethnography of medical practices, health disparities and policy implications will be examined. "
16,AlmaSUPERTRIMMED_spaced,ANT 312, North American Archaeology SO 4 cr UL Focus on major prehistoric and historic North American cultures as revealed through archaeology and representative archaeological sites. Special emphasis on Michigan and the Midwest. Opportunities for hands-on post-excavation laboratory research. 
17,AlmaSUPERTRIMMED_spaced,ANT 315," Michigan Archaeological Fieldwork SO 4 cr UL Research from peer-reviewed and/or primary sources, application of research to data form local sites resulting in written report, exhibition, or public presentation. Supervision of field crews in Spring Term excavation and survey program. Intended for students with experience in, and serious commitment to, archaeological research. "
18,AlmaSUPERTRIMMED_spaced,ANT 315M Michigan Archaeological Fieldwork,"SO 4 cr UL Research from peer-reviewed and/or primary sources, application of research to data form local sites resulting in written report, exhibition, or public presentation. Supervision of field crews in Spring Term excavation and survey program. Intended for students with experience in, and serious commitment to, archaeological research. Prereq: ANT-215 or Permission; Participation in community institutions, agencies, schools, and business with individual faculty supervision. Applications of concepts through experience. About 11-14 hours of field work per week for each four credits. Includes paper report. "
19,AlmaSUPERTRIMMED_spaced,ANT 498 Research Seminar-Anthropology,SO 2-4 cr UL Designed as a culminating experience for Anthropology majors and minors. Emphasizes student synthesis and application of cumulative anthropological knowledge. Students facilitate classes and engage in an original research project culminating in a public presentation of their work. Prereq: ANT-111 and 12 UL credits of ANT or Permission. 
20,AlmaSUPERTRIMMED_spaced,ANT 500, Senior Thesis-Anthropology SO 4 cr UL Designed for Senior Anthropology majors with the consent of the Department. Program of empirical and theoretical research. 
21,AlmaSUPERTRIMMED_spaced,ART 101 Beginning Drawing ,"AH  4 cr Through observation, this class will concentrate on the essential elements of drawing, its materials, and methods. This is an introductory level class, which prepares the student for higher levels of visual problem solving. Course fee. "
22,AlmaSUPERTRIMMED_spaced,ART 111 History of Art I,AH 4 cr Survey of the human visual cultures from its earliest visual record to the Medieval Period. Course fee. 
23,AlmaSUPERTRIMMED_spaced,ART 120 Two-Dimensional Design ,"AH  4 cr Investigation of foundational elements and  principles of visual design as the basic building blocks for visual art  and communication. Critical thinking skills, as they apply to studio art, are  explored using traditional and digital techniques. Course fee. "
24,AlmaSUPERTRIMMED_spaced,ART 140 Ceramics I ,"AH  4 cr Introduction to direct forming processes in clay; hand building and wheel-throwing. Investigation of the uses of slips, glazes, under glazes and other methods of surface enrichment. Participation in class kiln firings. Course fee. "
25,AlmaSUPERTRIMMED_spaced,ART 150 3-Dimensional Design ,"AH  4 cr Introduction to studio work with emphasis on exploring a variety of materials in three-dimensions in solving visual and spatial problems. Line, volume, mass, scale, composition, plane, as well as other elements of design will be utilized in investigating form. Course fee. "
26,AlmaSUPERTRIMMED_spaced,ART 162 Figure Drawing I ,AH  4 cr An introductory drawing course using the human body to discuss proportion and space. Much of the class will focus on developing drawing technique and observational skills for naturalistic rendering. Course fee. Prereq: ART-101 or ART-120 or Permission 
27,AlmaSUPERTRIMMED_spaced,ART 180 Topics in Studio Art ,"AH  1-4 cr Selective topics in studio art. Topics can be taught within the college or external experiences in department recommended workshops, residencies, or other special programming from other qualified institutions. Credit will be awarded based on program content, length of time/hours, and portfolio brought back for review. May require a course fee. "
28,AlmaSUPERTRIMMED_spaced,ART 210 Survey of Classical Art,"AH 4 cr UL Introduction to the visual cultures of ancient Greece and Rome with emphasis on the context in which the arts were produced. Survey of ancient history, literature and mythology are included to enrich students' comprehension of the artworks. Course fee. "
29,AlmaSUPERTRIMMED_spaced,ART 211 Survey of Medieval Art,"AH 4 cr UL Introduction to the visual cultures of Medieval Europe, with an emphasis on the context in which the arts were produced. Survey of Medieval history, literature and religion are included to enrich students' comprehension of the artworks. Course fee. "
30,AlmaSUPERTRIMMED_spaced,ART 212 Survey of Renaissance Art,"AH 4 cr UL Introduction to the visual cultures of the Renaissance in Northern and Southern Europe, with an emphasis on the context in which the arts were produced. Surveys of Renaissance history, literature and religion are included to enrich students' comprehension of the artworks. Course fee. "
31,AlmaSUPERTRIMMED_spaced,ART 213 Survey of Modern Art,"AH 4 cr UL Survey of the visual cultures of Europe and the United States that gave rise to Modernity, with an emphasis on the theory of its development and the cultural contexts in which it occurred. The course covers the arts produced from 1840 to 2001, and includes careful consideration of the different art movements that comprise modern art. Course fee. "
32,AlmaSUPERTRIMMED_spaced,ART 215M Contemporary Art,"AH 4 cr UL Introduction to the major artistic movements and critical theory in the last two decades. Students spend approximately one week in New York City, or other appropriate large city in the U.S or overseas exploring galleries, museums, and artists' studios. Seminar includes readings, discussion, and a research paper on a special topic. Course fee. Spring Term only. "
