,School,CourseID,Descriptions
0,BrownSUPERTRIMMED_spaced,AFRI 0090. An Introduction to African a Studies.,"This course introduces students to the vibrant and contested field of African a Studies by critically exploring and analyzing the links and d is junctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora.Beginning with a critical overview of the history, theoretical orientations,and multiple method o logical strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora."
1,BrownSUPERTRIMMED_spaced,AFRI 0110C. Autobiography of the Civil Rights Movement.,"Most of the rich written history of the civil rights movement originates from first-hand accounts documented in oral histories and autobiographies. This interdisciplinary course plots the milestones of the civil rights movement through the lens of several autobiographies. The aim is to critique autobiography as a historical document as well as use it to tell the stories of the civil rights movement. We will compare and contrast different texts,analyze content and map a history of the era. Students will work with a writing fellow to develop one critical paper and one autobiographical paper.Enrollment limited to 19 first year students."
2,BrownSUPERTRIMMED_spaced,AFRI 0210. Afro Latin Americans and Blackness in the Americas.,This course focuses on the position of Blacks in the national histories and societies of Latin America from slavery to the present-day. Emphasis is ona multidisciplinary engagement with issues and the exposure of students to the critical discussion of national images and realities about blackness and Africa-descended institutions and practices. The role of racial issues in national and transnational encounters and the consequences of migration of people and ideas within the hemisphere are explored.
3,BrownSUPERTRIMMED_spaced,AFRI 0670. Global Black Radicalism.,"The decade from the mid-Sixties until the mid-Seventies witnessed the riseof Black Radicalism as a global phenomenon. The emergence of Black Power in the US, Brazil and the Caribbean, the consolidation of liberation struggles in Portuguese Africa and the rise of a Black Consciousness trend in Apartheid South Africa all represent key moments. What led young activists to embrace “Black Power?” What led to the emergence of Marxist movements in Portuguese Africa? What events in the Caribbean gave ascendancy to radical tendencies? And what forces contributed to the decline of these movements? This course seeks to answer these questions."
4,BrownSUPERTRIMMED_spaced,AFRI 0980. Fela Kuti: African Freedom from Afrobeat to Afrobeats.,"Miles Davis famously described Fela Kuti (1938-1997) as “the future ofmusic.” Beyoncé’s attempt “to do something that sounds like Fela” sawher compose an unpublished 20-track album. Arguably Africa’s most prolific and controversial artist of the twentieth century, Fela continues tobe invoked as musical genius and as icon of popular struggle. This course invites students to explore the complexities of Fela’s art and activism. We mobilize his life/work as a springboard for examining emergent debates about African identity—from postcolonial masculinity to the creative logic s of African cities, from contemporary African youth culture to the gendered politics of cultural memory."
5,BrownSUPERTRIMMED_spaced,AFRI 0990. Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre.,"An interdisciplinary approach to the study of plays that address the identities and issues of black gay men and lesbians and offers various perspectives from within and without the black gay and lesbian artistic communities. Focuses on analysis of unpublished titles. Also includes published works by Baraka, Bullins, Corbitt, Gibson, Holmes, West, andPomo Afro Homos. Some evening screenings of videotapes. Enrollment limited to 20."
6,BrownSUPERTRIMMED_spaced,AFRI 1020C. The Afro-Luso-Brazilian Triangle.,"Examines three historical components of the South Atlantic in terms of history, culture, and contemporary political and economic consequences.European colonialism in Africa and Brazil constitutes the baseline for this exploration, but the long and tardy nature of Portuguese colonialism in Africa in comparison with other European colonial powers, especially in itspost-World War II manifestations, is our starting point. Enrollment limited to40."
7,BrownSUPERTRIMMED_spaced,"AFRI 1020D. Race, Rights, Rebellion.","Provides an in-depth examination of different kinds of social movements.Emphasis will be placed on the theoretical and method o logical distinctions among the various kinds of social protests and social movement actors.From anti-slavery revolts to struggles for independence to anti-apartheid movements, key concepts will include power, resistance, subaltern,hegemony, identity politics and consciousness."
8,BrownSUPERTRIMMED_spaced,AFRI 1030. Contesting the Car cera l State.,"This course introduces students to the study of crime and justice through Black, feminist, queer and prison abolitionist frameworks, with a particular focus on narratives by people of African descent in the U.S. since 1965."
9,BrownSUPERTRIMMED_spaced,AFRI 1050A. Advanced RPM Playwriting.,Third level of RPM Playwriting; for students that have successfully completed RPM Playwriting and Intermediate RPM Playwriting(workshop). Instructor permission.
