,School,CourseID,Descriptions
0,CaldwellSUPERTRIMMED_spaced,AR 465 Senior Exhibit (2 credits) ,Two additional studio courses are required – one of which must be a 300-level course or higher in chosen area of study. B.A. IN ART WITH CERTIFICATION IN EDUCATION This degree is offered in conjunction with the School of Education. A student must be accepted into the program through the School of Education (see Catalog section in School of Education for education requirements). Requirements for a B.A. in Art with Certification in Education 
1,CaldwellSUPERTRIMMED_spaced,AR 111 Drawing I (3) ,"A foundation class designed to develop the student’s ability to “see” and understand the elements of drawing and composition. Line, form, space, scale and value will be explored through a series of exercises and projects. "
2,CaldwellSUPERTRIMMED_spaced,AR 113 2D Design (3) ,"An introduction to two-dimensional design as an integral element in the process of art making. Workshop projects will cover areas of perception, balance, value, color, texture and scale. "
3,CaldwellSUPERTRIMMED_spaced,AR 118 3D Design (3) ,"A foundation studio class that explores the language of three-dimensional form and design principles. Students are introduced to a variety of materials including wire, clay, cardboard, and plaster. Studio work, outside assignments, lectures, slides, and demonstrations. AR210 Mediated Identities: Exploring and Understanding Cultural Identity through Sound, Performance and Video Art (3) Students will explore and understand their own media-saturated cultural identity using smart phones, laptops, digital recorders and other new media resources. Through research and hands-on experience students learn how artists through the ages have utilized new technologies to create political and cultural constructs, and how 20th century cultural and global events set the stage for the development of these powerful forms of 21st century communication. "
4,CaldwellSUPERTRIMMED_spaced,AR 204 Color Theory (3) ,"Studio class that analyzes the study and perception of color. Examines the components of color, color action and interaction. Exercises in color perception and creative projects. "
5,CaldwellSUPERTRIMMED_spaced,AR 216 Watercolor (3) ,"Develops a diverse body of experiences in the techniques and principles of transparent and opaque watercolor painting; studio exercises, mixed media, collage techniques. "
6,CaldwellSUPERTRIMMED_spaced,AR 220 Digital Art I (3) ,Introduces computers in the making of visual art. Students work with a variety of peripherals and software and learn to appreciate the special creative possibilities they afford. 
7,CaldwellSUPERTRIMMED_spaced,AR 221 Computer Illustration (3) ,Computer Illustration is a course which emphasizes the basic concepts and techniques of illustration. It will focus on the use of the computer as a means of conveying these ideas in their final state and investigate the computer’s role in challenging and redefining the artistic boundaries of this art form. 
8,CaldwellSUPERTRIMMED_spaced,AR 224 Graphic Design I (3) ,"This course is an introduction to the electronic tools and methods essential to communicate the needs of business and industry today. In it, students will develop professional standards, logos, brochures and package designs. "
9,CaldwellSUPERTRIMMED_spaced,AR 226 Drawing II (3) ,Continuation of the principles developed in Drawing I with emphasis on perception and understanding of the concepts of drawing and the ability to do independent work. Field trips required. Prerequisite: AR 111. 
10,CaldwellSUPERTRIMMED_spaced,AR 229 Photography I (3) ,"An in-depth study of the digital photo workflow from concept to completion. Students will work with a digital camera and computer software to shoot, edit, and print their photographs in both black and white, and color. Emphasis is on composition and exposure skills. "
11,CaldwellSUPERTRIMMED_spaced,AR 233 Relief Printmaking (3) ,"Considers design dynamics and processes of the cardboard plate, colla graph, and woodcut print. Emphasizes creative graphic expression and technical command. "
12,CaldwellSUPERTRIMMED_spaced,AR 235 Seri graph y (3) ,"Explores development of prints through the silk-screen process; separation planes and registration; use of glue, tusche, lacquer and film resists, free brush, cut and photographic methods. "
13,CaldwellSUPERTRIMMED_spaced,AR 236 Video Art (3) ,"An introduction to video art designed to develop students' skills in becoming technically proficient and insightful video makers. Through narrative and non-narrative projects, students gain hands-on experience in the technical, conceptual, and cultural elements of video art as well as the creative and expressive characteristics of the media. "
14,CaldwellSUPERTRIMMED_spaced,AR 243 Ceramics I (3) ,"Explores basics of ceramic fabrication in pinch, coil, and slab techniques. Emphasis is on design principles applied through hand building and glazing. Studio work, outside assignments, lectures, slides, and demonstrations. "
15,CaldwellSUPERTRIMMED_spaced,AR 248 Typography/Layout (3) ,A study of the anatomy of letter forms including its aesthetic characteristics. The emphasis will be on type as a design form and its synthesis with other images in a unified visual field. 
16,CaldwellSUPERTRIMMED_spaced,AR 250 Sculpture I (3) ,"Focuses on the making of sculptural objects through the investigation of historic and contemporary trends and by developing personal and perceptual considerations, technical skill, and the development of an individual working process. Required museum and gallery trips. "
17,CaldwellSUPERTRIMMED_spaced,AR 262 Concepts of Painting (3) ,"A studio class appropriate for all levels, concepts of painting explores the approaches to the development, organization and invention of painted form. "
18,CaldwellSUPERTRIMMED_spaced,AR 280 Painting I (3) ,"Studies the elements of painting, color, form and composition through a systematic series of exercises using still life, nature, and model. Includes studio work, outside assignments, lectures, slides, and demonstrations. "
19,CaldwellSUPERTRIMMED_spaced,AR 308 Photography II (3) ,Discusses functional and aesthetic application of photographic skills in sequential series of problem solving exercises and interpretive experiences. Prerequisite: AR 229. 
20,CaldwellSUPERTRIMMED_spaced,AR 310 Junior Comprehensive (1) ,"Students are expected to participate in a group exhibition in their junior year. They must have completed all introductory art requirements (or approved equivalents) before taking this course. The work will include independent work in drawing, painting, 2D and 3D design as well as class projects. A satisfactory grade must be received before taking Senior Seminar. "
21,CaldwellSUPERTRIMMED_spaced,AR 314 Exploratory Painting (3) ,"A studio workshop which encourages the student to investigate and experiment with a variety of painting media, techniques, and concepts. Demonstrations of materials, lectures, studio and outside assignments. Prerequisite: AR 280. "
22,CaldwellSUPERTRIMMED_spaced,AR 319 Intermediate Sculpture (3) ,"Offers a wide range of contemporary sculptural expression, including objects, multi-media projects and site works. Emphasis is placed on individual direction through studio projects, drawing and research. Prerequisite: AR 250. "
23,CaldwellSUPERTRIMMED_spaced,AR 339i Identity Design (3) ,"This course concentrates on the creation, and visual communication of identity systems. Students will not only design logos and ID packages, but also will review and develop the design skills needed to fulfill a client’s mission and how best to visually communicate their identity to the marketplace.(Prerequisite sAR 224 or AR248,and AR 357 or CS 230) "
24,CaldwellSUPERTRIMMED_spaced,AR 341 Intermediate Painting I (3) ,"Continues to explore the elements of painting with greater emphasis on development of individual vocabulary, awareness of styles, and use of a variety of media and technologies. Studio work, outside assignments, slide lectures, and demonstrations. Prerequisite: AR 280. "
25,CaldwellSUPERTRIMMED_spaced,AR 343 Ceramics II (3) ,"Explores advanced skills in ceramic sculpture and pottery production. Techniques include large-scale piece work, mold making, slip-casting, and glaze design. Prerequisite: AR 243 or permission of instructor. "
26,CaldwellSUPERTRIMMED_spaced,AR 348 Graphic Design II (3) ,"This course will emphasize students’ abilities to work at a more professional level of design, and develop their own unique style. Students will focus on the electronic tools and methods essential to create advanced art, and design with a clear communicating message. Prerequisite: AR 224. "
27,CaldwellSUPERTRIMMED_spaced,AR 349 Digital Art II (3) ,"An intermediate level course meant to further develop new media explored in Digital Art I. Students use digital tools to gain insight into their unique aesthetic concepts and characteristics. They will be encouraged to develop an individual vocabulary, conceptual ideas and an awareness of new media styles and their relationship with them. Prerequisite: AR 220. "
28,CaldwellSUPERTRIMMED_spaced,AR 350 Digital Imaging I (3) ,"Appropriate for artists, designers and photographers, this class investigates the technical processes and expressive concepts available to artists with digitized images. Students will explore digital imaging technologies, their creative potential and application. Prerequisite: AR 220 Digital Art I or similar course. "
29,CaldwellSUPERTRIMMED_spaced,AR 357 Web Design (3) ,"An intermediate/upper-level offering on Web design for Internet communication, which has become a major mode of communication for business,advertising,and many other professional groups. This isa studio course where students will use digital concepts, tools, and methods to gain insight into the interactive,non-linear characteristics of Web pages, and to find creative solutions for integrating their benefits into designs that aesthetically convey their intended message. Prerequisites: CS 230 or AR 220 or AR 224 or AR 248 or permission of instructor. "
30,CaldwellSUPERTRIMMED_spaced,AR 358 Typography II (3) ,This course provides additional experience as the student continues to build on the foundation established in Typography I. It will help refine essential typographical skills and help prepare the student for advanced graphic design work. 
31,CaldwellSUPERTRIMMED_spaced,AR 360 Interactive Design (3) ,"This coursefocuses on understanding the relationship between user interface, its context, and intuitive human behavior in order to create a successful graphic user experience. (Prerequisites: AR 224 Graphic Design I or AR 248 Typography I, and AR 357 Web Design or CS 230 Emerging Technologies. Or for CS majors CS 360 Developing Apps for Mobile Devices.) "
32,CaldwellSUPERTRIMMED_spaced,AR 415 Exploratory Drawing (3) ,"Investigates the means, elements, and materials of vision. Includes traditional and contemporary concepts and techniques of expressive drawing projects in diverse subjects and media. "
