,School,CourseID,Descriptions
0,CarlowSUPERTRIMMED_spaced,CTC 101Connectingto Carlow ,"This course introducesstudentstothe Carlow Universitycurriculum, vision, mission, and resources.Itfocuses onacademic preparation for transitioning to college,and transitioningto Carlowspecifically.It promotes intellectual engagement with the liberal artsandseekstodeepena student’sskills inreflective self-exploration.Inthis course,students willanalyze their ownacademicand careergoalsandconsidertheconnectionbetweenthe liberal arts,their major,and career-readiness. "
1,CarlowSUPERTRIMMED_spaced,SKC 101 Communication:Personal to Professional ,"This course is designed tointroducestudentstothe knowledgeand skillsneededtocommunicateeffectivelyinboth personal and professional situations,using traditional(face-to-face)and digital mediums.Students willstudy theessential concepts and models of communication;whiledesigningand presentingformalpresentations.Topics include:interviewing; ethics;nonverbal communication;team building;visual aids;demonstrating appropriate use of ethos,pathos and logos in the organization;and delivery of a presentation,demonstrating college-levelresearch andcritical thinkingskills.All students will deliver individual and group presentations.It is recommended that this course becompletedduringthefirstyearof study. 3 credits "
2,CarlowSUPERTRIMMED_spaced,PE 104 Aerobics ,"Beginning level of aerobic activity and exercise,emphasizing cardiovascular endurance,flexibility,and coordination. Prior experience is not required. 1 credit "
3,CarlowSUPERTRIMMED_spaced,PE 111 Triathlon ,"Introduction to the sport of triathlon, educating the studentontraining principles and methods for endurance sports. Instruction on the various athletic disciplines involved in a triathlon will include both classroom lectures as well as student participation in swimming,cycling,running,and weight training.The courseculminatesinanin-class triathlon. 1 credit "
4,CarlowSUPERTRIMMED_spaced,PE 120 Fitness and Weight Control ,"Understanding of the important correlation between exercise and nutritious eating as it affects body weight.Emphasis will be placed on low-impact exercise,charting food in take,and the achievement of weight loss,gain,or maintenance of goals. 1 credit PE 121 Aquatic Fitness Improving muscular strength,flexibility, and cardiovascular endurance while learning various water exercise techniques. Aqua aerobics,water walking,anduseofaquaticexerciseequipmentare studied.1 credit "
5,CarlowSUPERTRIMMED_spaced,PE 123 Walking for Wellness ,Improving health does not necessarily mean high-intensity exercise.Discover the health benefits of a walking program. Learn how to improve your fitness levels and total well-being.All levels of fitness are encouraged to participate. 1 credit 
6,CarlowSUPERTRIMMED_spaced,PE 125 Healthy Lifestyles ,"Introduction to the concept of wellness,consisting of three major components: nutrition(assessing dietary habits,caloric needs,andgoal-setting techniques for healthy eating),fitness(defining components of fitness and exploring options in fitness programming),and stress management(learning techniques for dealing positively with stress). The objective of the courseistoteachstudentsthattheyareresponsible fortheirtotal well-being. 1 credit "
7,CarlowSUPERTRIMMED_spaced,PE 137 Self-Defense for Women ,"Introduction to the basic fundamental kicking,blocking,and punching techniques of self-defense designed specifically for women.Volunteersimulationexercisesconcludethe course. 1 credit "
8,CarlowSUPERTRIMMED_spaced,PE 140 Weight Training ,"Introduction to proper techniques for lifting weights to increase strength,flexibility,and endurance.Progressinthe course will be self-paced. 1 credit "
9,CarlowSUPERTRIMMED_spaced,PE 150 Introduction to Yoga ,"Introduction to the systematic approach and proper form of exercise known as yoga. Warming up,stretching,and the releasing of muscle tension will reduce stress,increase blood circulation,and improve both physical and mental health. 1 credit PE 200 Varsity Sports Collegecreditfor studentathletesparticipatinginthevarsitysportsofbasketball,soccer,cross-country,softball,tennis,and volleyball.Students mustregisterforthis coursewithapprovalfromthedirectorofathletics.Students must tryout for the team and meet all requirements for team participation as determined by the headcoach. 1 credit "
