,School,CourseID,Descriptions
0,OregonUniSUPERTRIMMED_spaced,CHN 380 ,"CINE 110M CINE 111 CINE 151M CINE 230 CINE 265 CINE 266 CINE 267 CINE 268 CINE 330 CINE 335 CINE 340 CINE 345 CINE 350 CINE 360 CINE 362M CINE 365 CINE 381M CLAS 110 CLAS 201 CLAS 202 CLAS 301 CLAS 302 CLAS 303 CLAS 310 CLAS 311 CLAS 314 COLT 101 COLT 102 COLT 103 COLT 211 COLT 212 COLT 231 COLT 232 COLT 301 COLT 305 COLT 360 COLT 370 DAN 251 DAN 301 EALL 209 EALL 210 EALL 211 EALL 360 ENG 104 ENG 105 ENG 106 ENG 107 ENG 108 Gender and Sexuality in Modern Chinese 4 Literature Self and Society in Traditional Chinese 4 Literature Introduction to Film and Media 4 How to Watch TV 4 Introduction to Korean Cinema 4 Remix Cultures 4 History of the Motion Picture I 4 History of the Motion Picture II 4 History of the Motion Picture III 4 United States Television History 4 Film Festivals 4 Exhibition and Audiences 4 Production Studies 4 Stars 4 Queer European Cinema 4 Film Theory 4 Contemporary Korean Film 4 Digital Cinema 4 Film, Media, and Culture 4 Classical Mythology 4 Greek Life and Culture 4 Roman Life and Culture 4 Greek and Roman Epic 4 Greek and Roman Tragedy 4 Classical Greek Philosophers 4 Early China, Ancient Greece 4 Death and Rebirth in Greece and India 4 Gender and Sexuality in Antiquity 4 Introduction to Comparative Literature 4 Introduction to Comparative Literature 4 Introduction to Comparative Literature 4 Comparative World Literature 4 Comparative World Cinema 4 Literature and Society 4 Literature and Film 4 Approaches to Comparative Literature 4 Cultural Studies 4 Gender and Identity in Literature 4 Comparative Comics 4 Looking at Dance 4 African Dance Aesthetics 4 Language and Society in East Asia 4 China: A Cultural Odyssey 4 Japan: A Cultural Odyssey 4 East Asian Cinema 4 Introduction to Literature: Fiction 4 Introduction to Literature: Drama 4 Introduction to Literature: Poetry 4 World Literature 4 World Literature 4 "
1,OregonUniSUPERTRIMMED_spaced,SPAN 228 Latino Heritage II 5 4 ,SPAN 301 Cultura y Lengua: Identidades His pan as 4 SPAN 303 Cultura y lengua: expr es i ones artistic as 4 4 SPAN 305 Cultura y lengua: cambios social es 4 SPAN 341 Hispanic Cultures through Literature I 4 4 SPAN 342 Hispanic Cultures through Literature II 4 SPAN 343 Hispanic Cultures through Literature III 4 4 
2,OregonUniSUPERTRIMMED_spaced,SWAH 302 Contemporary Swahili Literature 4 4 ,SWAH 303 Language and Culture: Swahili Nation 5 4 SWED 201 Second-Year Swedish 4 SWED 202 Second-Year Swedish 4 4 SWED 203 Second-Year Swedish 4 4 SWED 301 Third-Year Swedish 4 4 SWED 302 Third-Year Swedish 4 5 SWED 303 Third-Year Swedish 4 
3,OregonUniSUPERTRIMMED_spaced,"HIST 191 China, Past and Present 4 ","EC 340 Issues in Public Economics 4 HIST 192 Japan, Past and Present 4 EC 350 Labor Market Issues 4 HIST 201 Inventing America 4 EC 360 Issues in Industrial Organization 4 HIST 202 Building the United States 4 EC 370 Money and Banking 4 HIST 203 American Century 4 EC 380 International Economic Issues 4 HIST 205 Ancient Sports 4 EC 390 Problems and Issues in the Developing 4 HIST 211 Reacting to the Past 4 Economies HIST 215 Food in World History 4 EDST 111 Educational Issues and Problems 4 HIST 221 Sex in History 4 ENVS 201 Introduction to Environmental Studies: 4 HIST 239 Classical and Medieval Warfare 4 Social Sciences HIST 240 War in the Modern World I 4 "
4,OregonUniSUPERTRIMMED_spaced,ENVS 335 Allocating Scarce Environmental 4 ,"Resources HIST 245 Russia, America, and the World 4 ES 101 Introduction to Ethnic Studies 4 HIST 248 Latinos in the Americas 4 ES 224M Introduction to Anthropology of the African 4 HIST 250 African American History 4 Diaspora HIST 251 African American History 4 ES 250 Introduction to African American Studies 4 HIST 273 Introduction to Environmental History 4 ES 252 Introduction to Asian American Studies 4 HIST 286 Cities in India and South Asia 4 ES 254 Introduction to Chicano and Latino Studies 4 HIST 301 Modern Europe 4 ES 256 Introduction to Native American Studies 4 HIST 302 Modern Europe 4 ES 258 Introduction to Pacific Islander Studies 4 HIST 303 Modern Europe 4 "
5,OregonUniSUPERTRIMMED_spaced,GEOG 360 Watershed Science and Policy 4 ,computer and information science or in a combination of the two for the GEOG 361 Global Environmental Change 4 bachelor of science degree may not also be used to fulfill the science GEOL 101 Exploring Planet Earth 4 group requirement. GEOL 102 Exploring Earth’s Environment 4 
6,OregonUniSUPERTRIMMED_spaced,HPHY 112 The Science of Health 4 ,"Statistics PHYS 101 Essentials of Physics 4 MATH 246 Calculus for the Biological Sciences I 4 PHYS 102 Essentials of Physics 4 MATH 247 Calculus for the Biological Sciences II 4 PHYS 152 Physics of Sound and Music 4 MATH 251 Calculus I 4 PHYS 153 Physics of Light, Color, and Vision 4 MATH 252 Calculus II 4 PHYS 155 Physics behind the Internet 4 MATH 253 Calculus III 4 PHYS 156M Scientific Revolutions 4 MATH 261 Calculus with Theory I 4 PHYS 161 Physics of Energy and Environment 4 MATH 262 Calculus with Theory II 4 PHYS 162 Solar and Other Renewable Energies 4 MATH 263 Calculus with Theory III 4 PHYS 171 The Physics of Life 4 MATH 307 Introduction to Proof 4 PHYS 181 Quantum Mechanics for Everyone 4 MATH 343 Statistical Models and Methods 4 PHYS 201 General Physics 4 PHYS 202 General Physics 4 Multicultural Requirements PHYS 203 General Physics 4 "
7,OregonUniSUPERTRIMMED_spaced,PS 369 Southern Politics ,"PS 375 Race, Politics, and the Law 4 PS 449 Racial Politics in the United States 4 4 SOC 345 Race and Ethnicity 4 4 SOC 445 Sociology of Race and Ethnicity: [Topic] 4 4 SPAN 218 Latino Heritage I 5 4 SPAN 248 Spanglish 4 4 SPAN 348 United States Latino Literature and Culture 4 4 TA 472 Multicultural Theater: [Topic] 4 4 WGS 321 Feminist Perspectives: Identity, Race, 4 4 "
8,OregonUniSUPERTRIMMED_spaced,ANTH 162 Introduction to Medical Anthropology 4 ,ANTH 163 Origins of Storytelling 4 4 ANTH 223 Anthropology of Chocolate 4 4 ANTH 225 Evolution of Play 4 
9,OregonUniSUPERTRIMMED_spaced,GEOG 475 4 ,GER 206 4 GER 220M 4 GER 221 4 GER 250 4 GER 252 4 GER 350 4 GER 355 4 GER 356 4 GER 357 4 HC 434H 
