,School,CourseID,Descriptions
0,YoungstownSUPERTRIMMED_spaced,HONR 1500 Intro to Honors 1 s.h.,"Prepares students for the expectations and requirements of the Honors Program. Students develop skills that aid in their overall academic endeavors and explore topics pertinent to their development within the Honors Program and as citizens of the university, local, national and global communities.
"
1,YoungstownSUPERTRIMMED_spaced,HONR 1599 Special Topics 3 s.h.,"An introductory-level examination of some topic appropriate for honors study.Typically team-designed. In certain cases, students may arrange to have the course counted toward the major by negotiation with the major department.With approval of the director of Honors, may be repeated for credit with different topics.
"
2,YoungstownSUPERTRIMMED_spaced,HONR 2601 Honor Seminar 1-2 s.h.,"An interdisciplinary seminar series dealing with topics appropriate to students in the Honors Program. The subjects include, but are not limited to, creativity,the organization and function of the university, the total human being, critical thinking, current events, etc.
"
3,YoungstownSUPERTRIMMED_spaced,HONR 2602 Honor Seminar 1-2 s.h.,"An interdisciplinary seminar series dealing with topics appropriate to students in the Honors Program. The subjects include, but are not limited to, creativity,the organization and function of the university, the total human being, critical thinking, current events, etc.
"
4,YoungstownSUPERTRIMMED_spaced,HONR 2602N Honor Seminar Serving the Under served 1-2 s.h.,"An interdisciplinary seminar series dealing with topics appropriate to students in the Honors Program. The subjects include, but are not limited to, creativity,the organization and function of the university, the total human being, critical thinking, current events, etc.
"
5,YoungstownSUPERTRIMMED_spaced,HONR 2699 Special Topics 3 s.h.,"A close examination of some topic appropriate for lower-division honors study.Typically team-designed. In certain cases, students may arrange to have the course counted toward the major by negotiation with the major department.With approval of the director of Honors, may be repeated for credit with different topics.
"
6,YoungstownSUPERTRIMMED_spaced,HONR 3701 University Honors Seminar 1-2 s.h.,"A critical investigation of selected areas underlying civilization, embracing and integrating the particular studies of science, society, and the humanities.
"
7,YoungstownSUPERTRIMMED_spaced,HONR 3702 University Honors Seminar 1-2 s.h.,"A critical investigation of selected areas underlying civilization, embracing and integrating the particular studies of science, society, and the humanities.
"
8,YoungstownSUPERTRIMMED_spaced,HONR 3799 Special Topics 3 s.h.,"A close examination of some topic appropriate for upper-division honors study. Typically team-designed. In certain cases, students may arrange tohave the course counted toward the major by negotiation with the major department. With approval of the director of Honors, may be repeated for credit with different topics.
"
9,YoungstownSUPERTRIMMED_spaced,COUN 1587 Introduction to Health and Wellness in Contemporary Society 3s.h.,"Provides an introduction to the wellness model integrating physical, mental,and emotional well-being. Using current research, students explore decision-making models examining ethical, theoretical, multicultural, and practical concerns in developing their own wellness strategies.
"
